"Path","Width","Height"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\instructor\08.jpg","600","600"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\instructor\02.jpg","600","600"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\instructor\10.jpg","600","600"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\instructor\01.jpg","600","598"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\18.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\19.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\20.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\15.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\16.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\17.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\24.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\25.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\26.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\21.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\22.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\23.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\04.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\05.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\06.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\03.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\01.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\02.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\27.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\07.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\12.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\13.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\14.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\11.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\09.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\08.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\courses\4by3\10.jpg","600","450"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\event\01.jpg","600","150"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\pattern\02.png","591","343"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\pattern\01.png","591","343"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\05.jpg","500","833"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\02.jpg","500","833"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\03.jpg","500","833"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\07.jpg","500","667"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\08.jpg","500","667"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\06.jpg","500","667"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\04.jpg","500","667"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\3by4\01.jpg","500","667"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\university\03.jpg","400","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\university\01.jpg","400","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\university\02.jpg","400","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\university\04.jpg","400","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\07.png","386","603"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\02.jpg","300","400"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\01.jpg","300","350"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\02.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\05.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\06.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\07.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\01.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\03.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\book\04.jpg","300","300"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\01.png","260","323"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\07.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\02.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\01.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\04.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\10.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\09.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\11.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\03.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\12.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\06.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\05.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\avatar\08.jpg","200","200"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\05.png","199","346"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\04.png","193","348"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\02.png","193","240"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\element\medal-badge.png","32","32"
